Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Está entre as melhores pilseners de larga escala de fabricação produzidas no Brasil. E o brasileiro adora pilsen. Então pra tomar num sábado com a família e amigos é uma ótima pedida.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Cerveja com grife, mas bem comum. Não difere muito das cervejas produzidas em grande escala. Não vale o preço.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;600ml bottle. Clear pale yellow with white head. Aroma is sweet malts and some slight almost acidic bitterness. Taste is similar with the same light acidic bitterness and light sweet maltiness. Medium mouthfeel, medium carbonation and fairly non-district aftertaste.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;A Therezópolis Gold é uma Premium Lager muito boa. Esta é uma cerveja refrescante e de fácil apreciação. A receita é de origem dinamarquesa e faz valer o título de Premium pois é perceptível a concentração superior de malte, mas bem equilibrado com o médio amargor. Por fim, a cerveja tem uma ótima textura e uma belíssima cor dourada. Sua espuma e consistente e de média duração, sendo cremosa e generosa.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Bottle. Pours dirty yellow with a small white head. Light nose, malty, caramel, spices and a light floral note. Starts light sweet and turns pleasently bitter in the finish. Light body and high carbonation with quite sparkling mouthfeel. Crisp and refreshing. Flavor is light as well mostly malts with a caramel note and just a hint of a floral hop note. Leaves a very light aftertaste. Overall easy drinking and fresh, with a potential for long nights without being flat.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Aroma de mel e caramelo. Espuma vom boa formação e persistência, com bolhas medias a grandes. Sabor residual doce. Alto drinkability.
Zuma Barrel and Vine;Atlanta, Georgia, United States;Amber Lager - Intl / Vienna;Zuma Brewery;On cask at the 1/27/07 Atlanta Cask Ale Tasting: Clear golden bronze with thin frothy white head. Oaky, earthy noble hop aroma has some vanilla and diacetyl. Body starts lightly sweet and malty with a good, oaky balance toward a crisp, clean finish. A nicely-balanced and unique brew.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;I see a few other ratings mention the sour aspect, but not many, so I’m not sure if this is intentional or not, but there is a dominant sour note reminiscent of Belgian yeast. Dark brown with brown head. Malty and smokey flavour, with a sour barrel aged woody taste.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;Quite enjoyed this. Pours black with tan head. Smells faintly like smoke and some brett. Smoky flavours with a sour cherry and brett finish. Thin palate, but still really nice.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;Not smoky at all but rather sweet. Drinks alright but not smooth enough and unnecessary aftertaste.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;500ml bottle pours black in color with a small light brown head which leaves a thin ring on the surface but very little lacing. Aroma is quite smoky with some roasted grains and hints of chocolate. Taste is also smoky with a roasted malt bitterness and chocolate malty sweetness and mild hop bitterness that fades to more smoke and a little alcohol burn. A very nicely done smoked porter.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;Good solid beer from one of the better brewers in Japan. Light smoke, this more about the poter underneath. Lots of chocolate an oily flint like body and a coffee espresso lite finish. Well put together.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;A lovely smoked porter. Blackish body with minimal sixteenth of an inch of off-white head. Smokey aroma. Above average mouthfeel of peaty smoke, substantial smoke flavour and very porterish. Balanced, not over the top tasty stuff, malted backbone that makes it emminently drinkable.500 ml. from Presario.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;This... doesn’t smell like smoke... at first. I stuck my nose into my ginormous glass as I poured expecting to smell BBQ aromas but it was mostly tinny can and some decomposing fruits. A bit later on the smoke aroma does come through though, you have to wait for it to warm up to you a little. It looks like an imperial porter(double dark) but with just a bit of head on pour and then it clears up quickly. This does taste fine enough, but if you were blind tasting you wouldn’t put the word Imperial in the description. After sitting a bit it does seem a bit oily and the smoke is really evident in the nose and flavour,it’s not quite overpowering, but the oiliness sure pushes the smoke agenda down your mouth hole. The % lingers on the tongue for just a moment before slipping away beneath the smoky depths. This is going to go very well with my seasonal BBQ’d steak, thank goodness for the chinook winds that allows me to BBQ in winter! (and for chinook hops, I also give much thanks!)
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;The pre-open prediction on this one: this should be one of the worst things I’ve opened all year. Well, I was quite wrong. Pretty much black - came out oily with a small dark brown cap that is creamy leaving spotty lacing. Excellent smoke aroma! Damn. Chocolate beyond the smoke, light fruit, hint of herbal. This is not quite overpowering but it’s close but I dig it. Smoky flavour, a bit sweet with some nice fruit, chocolate, nuts. Smooth feel. A gagging cough produced a hard smoke belch and tears.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;My second smoked style beer. The pour is deep opaque black with a creamy everlasting beige head. Aroma is overly smoky with hints of caramel, nuts, huge roasted malts and alcohol. The taste is sweet, smooth malts with a not so subtle smoke taste on top. Nice alcohol burn (not that 7% is much of an Imperial style ABV) on the finish. Overall, a pretty solid beer.
Ise Kadoya Imperial Smoked Porter;Ise, Mie Prefecture, Japan;Porter - Smoked;Ise Kadoya;In short: A chocolaty smoked with a strong fresh mint and perfume flavor. This is fucked up. How: Bottle 500ml. Consumed when probably 6 months to 1 year of age. Sent to me by presario. Thanks a lot Trevor The look: Black body topped by a very small tan head In long: Strange smoky nose. Lots of smoked but also weird scented notes of fresh mint leafs. Taste is smoky, meaty, lots of fresh mint leafs, milk chocolate, soya sauce, perfume. Very sweet. A clash of stuff. I’m not saying that flavors of fresh mint leafs and perfume cannot work in a beer. But that really did not work here. This bottle was an absolute mess. No sign of infection or oxidation at all. So I’m assuming that what I got was a “normal” bottle. Holly crap, this was one of the weirdest thing I ever had. And I’ve had lots of weird shit. The blend of flavors in this beer is gross, that’s Lay’s making potatoes chips with flavors of Sour Cream and Onions!!! Can you imagine that?
Echigo Wit;Nishikanbara-gun, Niigata-ken, Japan;Witbier / Belgian White Ale;Echigo Beer Company;Medium white head. Hazy pale yellow body. Acidic mealy citric spicy aroma. Citric mealy sweetish spicy coriander taste. Dryish mild aftertaste. Very, very nice. (0.25l draft.)
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;Bottle @ DeliIrium. Nice head with good duration. Color is brown. Aroma and taste are fruits, malt, nuts, hops and caramel.
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;33cl @ Delirium. No BB date, mored than likely brewed in 2005. Appears that for br. Bouillon beers to be enjoyed you need to drink them at least 3-4 years past expiration. All the beers I ahd from them that night gushed out. Brune claire, ambrée, col fin beige. Arôme est fruité rouge, fin aigreur indiquant un certain age, levure tjrs bien vivante avec un bouquet malt faible. En bouche, étonnamment bien carbonnée malgré l’age, pointe de caramel, malt avec une pointe aigre sans pour cela reflété une infection. Aspect fruits noirs/rouges, se termine sur un malt pâle/caramel sur un choco léger et une touche de biscuité. Houblon est tjrs bien là donnant un fini amer citronné, reste très faible dans son profile scotch. Pas mauvaise, même malgré l’age. Ma note reflète plus un profile qui manque un peu la marque au niveau du style et une carbonation qui malgré les années reste trop présente.
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;Bottle, bought @ Delirium, Brussels. Pours clear orange amber with a big, creamy, off-white head. Nice lacings. Aroma is sweet, malty, some caramel, soft walnuts, a bit of peach and strawberry and softly oxidised. High carbonation, a bit thin mouthfeel with some soft dryness. Flavour is malty, light Belgian sugar with a soft liqourice feel to it. Fairly dry and bitter really. A bit simple, but it held up amazingly.
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;Brotig-süßlich-alkoholischer Duft. Etwas trockener Antrunk, herb-malzig mit der Betonung auf die übermäßig trockene Herbe. Im Anschluss lässt sich eine kurze Hopfigkeit ausmachen, dann setzt der ebenfalls trockene Malzton ein. Die fruchtige Note erliegt der Trockenheit. Test vom 20.8.2007, Gebinde: Glasflasche Noten: 9,8,8,9,9,9 - 8,70
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;"Bottle, 33 cl. (bought @ Willems) Darkgolden color, with medium white head. Aroma yeast and fruity. Medium body. Taste = a bit complex fro me; little sweet, fruity, spice and bitterness. But this is not a scotch ! Good."
Sealux 2005 Scotch 10ème;Bouillon, Belgium;Scotch Ale / Wee Heavy;Brasserie de Bouillon;Bottle. This beer is misleadingly called scotch, because it has a pinkish blonde color. Grapefruit and flowers in the aroma. Grapefruit, lemon, honey and a hint of toffee in the flavor. Traubenzucker and a hint of leak. Strongly resembling the 2006 Sealux version, but rated as a different beer because of the lower ABV (7% instead of 8%) and minor differences in flavor.
Ploss Selber Weisse;Selb, Bavaria, Germany;Weissbier - Hefeweizen;Brauhaus Ploss;On tap at the brewpub. Trübes goldgelbes Bier mit einer riesigen weißen schaumkrone. Geruch leicht bananig, hefig. Geschmack süß bananig, hefig, kaum würzig, langweilig.
Ploss Selber Weisse;Selb, Bavaria, Germany;Weissbier - Hefeweizen;Brauhaus Ploss;Tap at the brewpub. It’s unclear golden with a creamy, white and lasting head. Until the head is almost vanished, there is a hint of sewer in the aroma, but later yeast, fruit and wheat. The sweet flavor has notes of yeast, banana, fruit, wheat and the balance is nice.
Ploss Selber Weisse;Selb, Bavaria, Germany;Weissbier - Hefeweizen;Brauhaus Ploss;Draft at the brewpub. An unclear golden beer with a white head. The aroma is sweet with notes of wheat, yeast, and banana. The flavor is sweet with noets of wheat and cloves as well as lighter notes of banana and oranges, leading to a dry wheaty finish.
Ploss Selber Weisse;Selb, Bavaria, Germany;Weissbier - Hefeweizen;Brauhaus Ploss;(On tap) Cloudy golden with an off-white head. Distinct aroma of yeast and banana. Medium body with sweet banana and yeast, some phenols also. Quite a decent Hefe. 010708
Ploss Selber Weisse;Selb, Bavaria, Germany;Weissbier - Hefeweizen;Brauhaus Ploss;Draught at the brewpub. Hazy golden coloured. Aroma of yeast, bananas and some eggs. Light yeasty and fruity flavour. Light top medium bodied. Very high carbonation level.
Ploss Selber Dunkles Zoigl;Selb, Bavaria, Germany;Zwickelbier/Kellerbier/Landbier;Brauhaus Ploss;On tap at the brewpub. Trübes dunkel orange goldenes Bier mit einer geringen weißen schaumkrone. Geruch gering röstmalzig, Karamell, fruchtig. Geschmack mild hopfig, karamellig, röstmalzig
Ploss Selber Dunkles Zoigl;Selb, Bavaria, Germany;Zwickelbier/Kellerbier/Landbier;Brauhaus Ploss;Draught at the brewpub. Hazy mahogany coloured. Fruity and yeasty aroma and flavour with some malty notes. Rather light flavoured. Medium bodied.
Evan Evans May Fly;Llandeilo, Carmarthenshire, Wales;Bitter - Ordinary / Best;Evan Evans Brewery;A Mes rate: Cask at JDW. Raspberry aroma. Malty with some eventual hoppy bitterness to round it off. Erm... yeah yeah.
Evan Evans May Fly;Llandeilo, Carmarthenshire, Wales;Bitter - Ordinary / Best;Evan Evans Brewery;Cask conditioned @ Giddy Bridge (JDW), Soton. Darkish golden. Floral perfumey hops on the nose which weren’t really to my taste - think pot pourri. Light malt and smooth bitterness. Not too bad.
Depot Street Whistlestop Wit;Jonesborough, Tennessee, United States;Witbier / Belgian White Ale;Depot Street Brewing;Lemon honey flavors. A bit thin on the tongue yet over carb. Golden with decent head. Aroma yeast and lemon. ---Rated via Beer Buddy for iPhone
Depot Street Whistlestop Wit;Jonesborough, Tennessee, United States;Witbier / Belgian White Ale;Depot Street Brewing;"Draft. Lightly hazy, golden pear color, with a small ring of bubbles. Nose is coriander and citrus zest. Taste is the same with some grassy hop and light bready yeast. Near-medium body is smoothly carbonated and well balanced. Just a bit overdone with the additives; slightly overpowering the unique yeast flavors that are necessary to the style."
Depot Street Whistlestop Wit;Jonesborough, Tennessee, United States;Witbier / Belgian White Ale;Depot Street Brewing;Cloudy yellow with a white foam. Aroma is lemon, citrus, coriander, bitter orange. Taste is lemony citrus, the finish is nicely yeasty but with too heavy of a bitter orange peel note.
